Ti,V,Fe,Co,Ni,Zr,Mo,Sn,W,CM_type,CM_morph,MS2_morph,CP_morph,SSA,C,Cation,Anion,P_low,P_high,CD,Cs,Cs_zscore
False,False,False,True,False,False,False,False,False,NoCP,NoCP,flower-like clusters,NoCP,46.2,2.0,K,OH,-0.1,0.5,1.0,554.0,-0.14409712245250367
False,False,False,True,False,False,False,False,False,NoCP,NoCP,flower-like clusters,NoCP,46.2,2.0,K,OH,-0.1,0.5,2.0,540.0,-0.16568024664510775
False,False,False,True,False,False,False,False,False,NoCP,NoCP,flower-like clusters,NoCP,46.2,2.0,K,OH,-0.1,0.5,5.0,497.0,-0.23197127095096315
False,False,False,True,False,False,False,False,False,NoCP,NoCP,flower-like clusters,NoCP,46.2,2.0,K,OH,-0.1,0.5,10.0,469.0,-0.2751375193361713
False,False,False,True,False,False,False,False,False,NoCP,NoCP,flower-like clusters,NoCP,46.2,2.0,K,OH,-0.1,0.5,20.0,417.0,-0.35530340919441505
False,False,False,True,False,False,False,False,False,NoCP,NoCP,nanoparticles,NoCP,3.3,2.0,K,OH,-0.1,0.5,1.0,180.0,-0.7206748687406414
False,False,False,True,False,False,False,False,False,NoCP,NoCP,nanoparticles,NoCP,3.3,2.0,K,OH,-0.1,0.5,2.0,167.0,-0.7407163412052022
False,False,False,True,False,False,False,False,False,NoCP,NoCP,nanoparticles,NoCP,3.3,2.0,K,OH,-0.1,0.5,5.0,143.0,-0.7777159826782378
False,False,False,True,False,False,False,False,False,NoCP,NoCP,nanoparticles,NoCP,3.3,2.0,K,OH,-0.1,0.5,10.0,115.0,-0.820882231063446
False,False,False,True,False,False,False,False,False,NoCP,NoCP,nanoparticles,NoCP,3.3,2.0,K,OH,-0.1,0.5,20.0,78.0,-0.8779233450010425
False,False,False,True,False,False,False,False,False,NoCP,NoCP,irregular nanoparticles,NoCP,29.3,2.0,K,OH,-0.2,0.45,0.5,654.0,0.010068050351811221
False,False,False,True,False,False,False,False,False,NoCP,NoCP,irregular nanoparticles,NoCP,29.3,2.0,K,OH,-0.2,0.45,1.0,595.0,-0.08088940160273456
False,False,False,True,False,False,False,False,False,NoCP,NoCP,irregular nanoparticles,NoCP,29.3,2.0,K,OH,-0.2,0.45,5.0,499.0,-0.22888796749487686
False,False,False,True,False,False,False,False,False,NoCP,NoCP,irregular nanoparticles,NoCP,36.3,6.0,K,OH,0.0,0.4,0.5,996.0,0.5373129413425681
False,False,False,True,False,False,False,False,False,NoCP,NoCP,irregular nanoparticles,NoCP,36.3,6.0,K,OH,0.0,0.4,1.0,987.0,0.5234380757901798
False,False,False,True,False,False,False,False,False,NoCP,NoCP,irregular nanoparticles,NoCP,36.3,6.0,K,OH,0.0,0.4,2.0,980.0,0.5126465136938777
False,False,False,True,False,False,False,False,False,NoCP,NoCP,irregular nanoparticles,NoCP,36.3,6.0,K,OH,0.0,0.4,3.0,973.0,0.5018549515975756
False,False,False,True,False,False,False,False,False,NoCP,NoCP,irregular nanoparticles,NoCP,36.3,6.0,K,OH,0.0,0.4,4.0,966.0,0.49106338950127365
False,False,False,True,False,False,False,False,False,NoCP,NoCP,irregular nanoparticles,NoCP,36.3,6.0,K,OH,0.0,0.4,5.0,958.0,0.4787301756769285
False,False,False,True,False,False,False,False,False,NoCP,NoCP,irregular nanoparticles,NoCP,13.1,6.0,K,OH,0.0,0.4,0.5,354.0,-0.45242746806113343
False,False,False,True,False,False,False,False,False,NoCP,NoCP,irregular nanoparticles,NoCP,13.1,6.0,K,OH,0.0,0.4,1.0,342.0,-0.4709272887976512
False,False,False,True,False,False,False,False,False,NoCP,NoCP,irregular nanoparticles,NoCP,13.1,6.0,K,OH,0.0,0.4,2.0,322.0,-0.5017603233585142
